timestamp,temperature,humidity,wind_speed,pressure,hour,day_of_week,is_weekend,wind_direction,precipitation,cloud_cover,is_warning,aqi,pm25
2025-11-13 00:00:00,20.8,81,1.3611111111111112,1015.2,0,3,0,356,0.0,100,1,113,80.6
2025-11-13 01:00:00,20.1,81,2.1666666666666665,1015.3,1,3,0,8,0.0,100,1,114,58.3
2025-11-13 02:00:00,20.1,76,2.5833333333333335,1015.0,2,3,0,9,0.0,91,1,115,42.1
2025-11-13 03:00:00,20.4,72,2.5,1015.1,3,3,0,13,0.0,98,1,115,29.5
2025-11-13 04:00:00,20.5,70,2.361111111111111,1015.9,4,3,0,18,0.0,99,1,116,22.0
2025-11-13 05:00:00,20.6,68,2.3333333333333335,1016.5,5,3,0,23,0.0,91,1,116,17.8
2025-11-13 06:00:00,20.0,70,1.9166666666666667,1017.5,6,3,0,15,0.0,98,1,116,18.9
2025-11-13 07:00:00,20.5,70,2.388888888888889,1018.4,7,3,0,12,0.0,62,1,116,13.0
2025-11-13 08:00:00,21.8,65,2.2222222222222223,1019.1,8,3,0,5,0.0,65,1,116,14.4
2025-11-13 09:00:00,22.8,53,3.333333333333333,1019.5,9,3,0,16,0.0,9,1,115,16.2
2025-11-13 10:00:00,23.6,49,3.4722222222222223,1019.3,10,3,0,15,0.0,6,1,115,17.3
2025-11-13 11:00:00,24.5,47,3.0277777777777777,1017.9,11,3,0,13,0.0,0,1,114,17.6
2025-11-13 12:00:00,25.1,50,3.2499999999999996,1016.7,12,3,0,10,0.0,17,1,114,17.7
2025-11-13 13:00:00,25.5,50,2.638888888888889,1015.3,13,3,0,10,0.0,0,1,114,17.6
2025-11-13 14:00:00,26.2,47,2.1944444444444446,1014.3,14,3,0,360,0.0,0,1,114,17.4
2025-11-13 15:00:00,26.2,46,1.9444444444444444,1013.5,15,3,0,348,0.0,0,1,114,17.2
2025-11-13 16:00:00,25.6,52,1.5,1013.5,16,3,0,330,0.0,1,1,115,18.0
2025-11-13 17:00:00,23.7,62,0.8611111111111112,1013.4,17,3,0,306,0.0,0,1,115,35.7
2025-11-13 18:00:00,22.5,64,0.38888888888888884,1013.5,18,3,0,270,0.0,0,1,116,66.8
2025-11-13 19:00:00,21.6,70,1.1111111111111112,1014.0,19,3,0,280,0.0,0,1,117,80.1
2025-11-13 20:00:00,21.5,68,0.3333333333333333,1014.2,20,3,0,207,0.0,0,1,118,101.0
2025-11-13 21:00:00,20.8,72,0.38888888888888884,1014.4,21,3,0,113,0.0,0,1,119,113.9
2025-11-13 22:00:00,20.0,78,0.8055555555555555,1015.1,22,3,0,43,0.0,0,1,120,117.6
2025-11-13 23:00:00,19.3,80,1.2777777777777777,1015.0,23,3,0,31,0.0,6,1,121,113.2
2025-11-14 00:00:00,18.5,83,1.3888888888888888,1014.8,0,4,0,52,0.0,41,1,122,104.8
2025-11-14 01:00:00,18.2,86,1.6388888888888888,1015.1,1,4,0,45,0.0,0,1,125,97.6
2025-11-14 02:00:00,17.4,88,1.4166666666666665,1015.0,2,4,0,32,0.0,0,1,129,87.5
2025-11-14 03:00:00,17.0,87,1.5277777777777777,1014.9,3,4,0,32,0.0,18,1,133,72.9
2025-11-14 04:00:00,16.8,87,1.611111111111111,1015.3,4,4,0,26,0.0,27,1,138,57.6
2025-11-14 05:00:00,16.5,86,1.75,1015.7,5,4,0,39,0.0,26,1,142,47.5
2025-11-14 06:00:00,16.0,87,1.7222222222222223,1016.7,6,4,0,38,0.0,23,1,145,42.5
2025-11-14 07:00:00,17.5,84,2.694444444444444,1017.7,7,4,0,27,0.0,0,1,147,38.1
2025-11-14 08:00:00,19.5,77,2.305555555555556,1018.2,8,4,0,20,0.0,0,1,150,29.8
2025-11-14 09:00:00,21.6,65,2.4722222222222223,1018.8,9,4,0,21,0.0,0,1,150,13.6
2025-11-14 10:00:00,23.5,51,2.944444444444444,1018.8,10,4,0,30,0.0,0,1,150,10.4
2025-11-14 11:00:00,24.6,42,3.2499999999999996,1017.5,11,4,0,32,0.0,0,1,150,10.7
2025-11-14 12:00:00,25.2,41,2.833333333333333,1016.1,12,4,0,17,0.0,14,1,150,11.7
2025-11-14 13:00:00,25.6,40,2.5,1015.1,13,4,0,358,0.0,13,1,149,13.0
2025-11-14 14:00:00,25.9,41,2.25,1014.1,14,4,0,354,0.0,0,1,149,13.9
2025-11-14 15:00:00,25.6,42,2.305555555555556,1013.7,15,4,0,356,0.0,4,1,148,14.7
2025-11-14 16:00:00,24.9,50,1.611111111111111,1013.6,16,4,0,358,0.0,0,1,148,16.4
2025-11-14 17:00:00,22.9,60,0.888888888888889,1013.5,17,4,0,3,0.0,0,1,148,40.3
2025-11-14 18:00:00,22.0,59,0.25,1013.7,18,4,0,323,0.0,0,1,148,71.9
2025-11-14 19:00:00,21.8,60,0.3055555555555556,1014.4,19,4,0,99,0.0,0,1,149,83.1
2025-11-14 20:00:00,21.1,62,0.3055555555555556,1015.4,20,4,0,189,0.0,0,1,149,99.7
2025-11-14 21:00:00,20.5,67,0.16666666666666666,1016.0,21,4,0,252,0.0,0,1,149,108.3
2025-11-14 22:00:00,18.8,76,1.0555555555555556,1016.3,22,4,0,25,0.0,0,1,148,109.2
2025-11-14 23:00:00,17.8,84,1.5555555555555554,1016.6,23,4,0,59,0.0,2,1,148,105.2
2025-11-15 00:00:00,17.0,89,1.5,1016.4,0,5,1,76,0.0,1,1,147,95.2
2025-11-15 01:00:00,17.0,92,1.3611111111111112,1016.5,1,5,1,80,0.0,0,1,146,84.8
2025-11-15 02:00:00,16.5,93,1.1944444444444444,1016.3,2,5,1,42,0.0,0,1,144,74.7
2025-11-15 03:00:00,16.3,94,1.5,1016.1,3,5,1,14,0.0,0,1,143,66.1
